iter	Passed	Remaining
479	610	661
480	611	659
481	612	657
482	613	656
483	613	654
484	614	652
485	615	651
486	616	649
487	617	647
488	618	646
489	619	644
490	620	642
491	620	641
492	621	639
493	622	637
494	623	636
495	624	634
496	625	633
497	626	631
498	627	629
499	628	628
500	629	626
501	630	625
502	631	623
503	631	621
504	632	620
505	633	618
506	634	617
507	635	615
508	636	614
509	638	613
510	639	611
511	640	610
512	641	608
513	642	607
514	643	605
515	643	604
516	644	602
517	645	600
518	646	599
519	647	597
520	648	596
521	649	594
522	650	593
523	651	591
524	652	590
525	653	588
526	654	587
527	655	585
528	656	584
529	657	582
530	658	581
531	659	579
532	660	578
533	660	576
534	661	575
535	662	573
536	663	572
537	664	570
538	665	569
539	666	567
540	667	566
541	668	564
542	669	563
543	670	562
544	671	560
545	672	559
546	673	557
547	674	556
548	675	554
549	676	553
550	676	551
551	677	550
552	678	548
553	679	547
554	680	545
555	681	544
556	682	543
557	685	542
558	686	541
559	686	539
560	687	538
561	688	536
562	689	535
563	690	533
564	691	532
565	692	530
566	692	529
567	693	527
568	694	526
569	695	524
570	696	523
571	697	521
572	698	520
573	699	519
574	700	517
575	701	516
576	702	514
577	703	513
578	703	511
579	704	510
580	705	508
581	706	507
582	707	506
583	709	505
584	710	503
585	710	502
586	711	500
587	712	499
588	713	498
589	714	496
590	715	495
591	716	494
592	717	492
593	718	491
594	719	489
595	720	488
596	721	486
597	722	485
598	723	484
599	723	482
600	724	481
601	725	479
602	726	478
603	727	476
604	728	475
605	729	474
606	730	473
607	731	471
608	732	470
609	733	468
610	734	467
611	735	466
612	736	464
613	736	463
614	737	461
615	738	460
616	739	459
617	740	457
618	741	456
619	742	454
620	743	453
621	744	452
622	745	451
623	746	449
624	747	448
625	748	447
626	749	446
627	750	444
628	751	443
629	752	442
630	753	440
631	754	439
632	755	437
633	756	436
634	757	435
635	758	434
636	759	432
637	760	431
638	761	430
639	762	428
640	763	427
641	764	426
642	764	424
643	765	423
644	766	421
645	767	420
646	768	419
647	769	417
648	770	416
649	771	415
650	771	413
651	772	412
652	774	411
653	775	410
654	776	408
655	777	407
656	778	406
657	779	405
658	780	403
659	781	402
660	782	401
661	783	399
662	784	398
663	784	397
664	785	395
665	786	394
666	788	393
667	789	392
668	790	390
669	791	389
670	792	388
671	792	387
672	793	385
673	794	384
674	795	383
675	796	381
676	797	380
677	798	379
678	799	377
679	799	376
680	800	375
681	801	373
682	802	372
683	803	371
684	805	370
685	806	368
686	807	367
687	807	366
688	808	365
689	809	363
690	810	362
691	811	361
692	812	359
693	813	358
694	814	357
695	814	355
696	815	354
697	816	353
698	817	352
699	818	350
700	819	349
701	820	348
702	821	347
703	822	345
704	823	344
705	824	343
706	825	342
707	826	340
708	827	339
709	828	338
710	828	336
711	829	335
712	830	334
713	831	333
714	832	331
715	833	330
716	834	329
717	835	328
718	836	326
719	837	325
720	838	324
721	839	323
722	840	321
723	840	320
724	841	319
725	842	318
726	843	316
727	844	315
728	845	314
729	846	312
730	847	312
731	849	311
732	850	309
733	851	308
734	852	307
735	853	306
736	854	304
737	854	303
738	855	302
739	856	300
740	857	299
741	858	298
742	859	297
743	860	295
744	861	294
745	862	293
746	863	292
747	864	291
748	865	289
749	866	288
750	867	287
751	868	286
752	869	285
753	869	283
754	870	282
755	871	281
756	872	280
757	873	278
758	874	277
759	875	276
760	876	275
761	877	274
762	878	272
763	879	271
764	880	270
765	881	269
766	881	267
767	882	266
768	883	265
769	884	264
770	885	262
771	886	261
772	887	260
773	888	259
774	889	258
775	889	256
776	890	255
777	892	254
778	893	253
779	894	252
780	895	250
781	896	249
782	896	248
783	897	247
784	898	246
785	899	244
786	900	243
787	901	242
788	902	241
789	903	240
790	904	238
791	905	237
792	906	236
793	907	235
794	908	234
795	909	233
796	910	231
797	910	230
798	911	229
799	912	228
800	913	226
801	914	225
802	915	224
803	916	223
804	917	222
805	917	220
806	918	219
807	920	218
808	921	217
809	922	216
810	923	215
811	924	214
812	925	212
813	926	211
814	927	210
815	928	209
816	929	208
817	930	206
818	931	205
819	932	204
820	933	203
821	934	202
822	935	201
823	936	199
824	937	198
825	938	197
826	939	196
827	940	195
828	941	194
829	942	192
830	943	191
831	943	190
832	944	189
833	945	188
834	946	187
835	947	185
836	948	184
837	949	183
838	950	182
839	951	181
840	952	180
841	953	178
842	954	177
843	955	176
844	956	175
845	957	174
846	957	173
847	958	171
848	959	170
849	960	169
850	961	168
851	962	167
852	963	166
853	964	164
854	965	163
855	966	162
856	967	161
857	968	160
858	969	159
859	970	157
860	971	156
861	971	155
862	972	154
863	973	153
864	974	152
865	975	150
866	976	149
867	977	148
868	978	147
869	979	146
870	980	145
871	981	144
872	982	142
873	983	141
874	984	140
875	985	139
876	986	138
877	987	137
878	988	136
879	988	134
880	989	133
881	991	132
882	992	131
883	993	130
884	994	129
885	995	128
886	996	126
887	997	125
888	998	124
889	999	123
890	1000	122
891	1001	121
892	1002	120
893	1003	118
894	1004	117
895	1005	116
896	1006	115
897	1006	114
898	1007	113
899	1008	112
900	1009	110
901	1010	109
902	1011	108
903	1012	107
904	1013	106
905	1014	105
906	1015	104
907	1016	102
908	1017	101
909	1018	100
910	1018	99
911	1019	98
912	1020	97
913	1021	96
914	1022	94
915	1023	93
916	1024	92
917	1024	91
918	1025	90
919	1026	89
920	1027	88
921	1028	86
922	1029	85
923	1029	84
924	1030	83
925	1031	82
926	1032	81
927	1033	80
928	1034	79
929	1035	77
930	1036	76
931	1036	75
932	1037	74
933	1038	73
934	1039	72
935	1040	71
936	1041	70
937	1042	68
938	1042	67
939	1043	66
940	1044	65
941	1045	64
942	1046	63
943	1048	62
944	1048	61
945	1049	59
946	1050	58
947	1052	57
948	1053	56
949	1054	55
950	1055	54
951	1055	53
952	1056	52
953	1057	51
954	1058	49
955	1059	48
956	1060	47
957	1061	46
958	1062	45
959	1063	44
960	1065	43
961	1066	42
962	1066	40
963	1067	39
964	1068	38
965	1069	37
966	1070	36
967	1071	35
968	1072	34
969	1073	33
970	1074	32
971	1075	30
972	1076	29
973	1077	28
974	1078	27
975	1079	26
976	1080	25
977	1081	24
978	1082	23
979	1083	22
980	1083	20
981	1084	19
982	1085	18
983	1086	17
984	1087	16
985	1088	15
986	1089	14
987	1090	13
988	1091	12
989	1092	11
990	1093	9
991	1094	8
992	1095	7
993	1096	6
994	1097	5
995	1098	4
996	1099	3
997	1099	2
998	1100	1
999	1101	0
